"condition","correctness","RT","participant","MW_label","MW_index","task","intervention","Block"
"",1,NA,"subject_11",0,1,3,"before",1
"space",0,NA,"subject_11",0,1,3,"before",1
"space",0,NA,"subject_11",0,1,3,"before",1
"space",1,0.626414351,"subject_11",0,1,3,"before",1
"space",1,0.523539792,"subject_11",0,1,3,"before",1
"",0,0.541818827,"subject_11",0,1,3,"before",1
"space",1,0.517204958,"subject_11",0,1,3,"before",1
"space",1,0.494473276,"subject_11",0,1,3,"before",1
"space",1,0.568672951,"subject_11",0,1,3,"before",1
"space",1,0.569488203,"subject_11",0,1,3,"before",1
"space",1,0.515250537,"subject_11",0,1,3,"before",1
"space",1,0.47627566,"subject_11",0,1,3,"before",1
"space",1,0.517109206,"subject_11",0,1,3,"before",1
"",1,NA,"subject_11",0,1,3,"before",1
"space",1,0.489034605,"subject_11",0,1,3,"before",1
"space",1,0.388609764,"subject_11",0,2,3,"before",1
"space",1,0.446466141,"subject_11",0,2,3,"before",1
"space",1,0.399849327,"subject_11",0,2,3,"before",1
"space",1,0.376239488,"subject_11",0,2,3,"before",1
"",0,0.320675829,"subject_11",0,2,3,"before",1
"space",1,0.56203874,"subject_11",0,2,3,"before",1
"space",1,0.436120355,"subject_11",0,2,3,"before",1
"space",1,0.444028562,"subject_11",0,2,3,"before",1
"space",1,0.445360865,"subject_11",0,2,3,"before",1
"space",1,0.303465414,"subject_11",0,2,3,"before",1
"space",1,0.417443626,"subject_11",0,2,3,"before",1
"space",1,0.401292291,"subject_11",0,2,3,"before",1
"",1,NA,"subject_11",0,2,3,"before",1
"space",1,0.28360032,"subject_11",0,2,3,"before",1
"space",1,0.343165164,"subject_11",0,2,3,"before",1
"space",1,0.276228286,"subject_11",0,3,3,"before",1
"space",1,0.329259412,"subject_11",0,3,3,"before",1
"",0,0.267147761,"subject_11",0,3,3,"before",1
"",0,0.268705325,"subject_11",0,3,3,"before",1
"space",1,0.405402451,"subject_11",0,3,3,"before",1
"space",1,0.631173423,"subject_11",0,3,3,"before",1
"space",1,0.488735527,"subject_11",0,3,3,"before",1
"space",1,0.40217399,"subject_11",0,3,3,"before",1
"space",1,0.435375458,"subject_11",0,3,3,"before",1
"space",1,0.427081887,"subject_11",0,3,3,"before",1
"space",1,0.373364242,"subject_11",0,3,3,"before",1
"space",1,0.287335011,"subject_11",0,4,3,"before",1
"space",1,0.270618561,"subject_11",0,4,3,"before",1
"space",1,0.289104303,"subject_11",0,4,3,"before",1
"space",1,0.274464712,"subject_11",0,4,3,"before",1
"space",1,0.211458827,"subject_11",0,4,3,"before",1
"space",1,0.204097297,"subject_11",0,4,3,"before",1
"space",1,0.253516845,"subject_11",0,4,3,"before",1
"space",1,0.287753271,"subject_11",0,4,3,"before",1
"space",1,0.209656752,"subject_11",0,4,3,"before",1
"space",1,0.234094173,"subject_11",0,4,3,"before",1
"",0,0.259380336,"subject_11",0,4,3,"before",1
"space",1,0.252050355,"subject_11",0,4,3,"before",1
"space",1,0.261990125,"subject_11",0,4,3,"before",1
"space",1,0.247780817,"subject_11",0,4,3,"before",1
"space",1,0.230914146,"subject_11",0,4,3,"before",1
"space",1,0.269349331,"subject_11",0,5,3,"before",1
"",0,0.486509278,"subject_11",0,5,3,"before",1
"space",1,0.526149642,"subject_11",0,5,3,"before",1
"space",1,0.375570916,"subject_11",0,5,3,"before",1
"space",1,0.362073006,"subject_11",0,5,3,"before",1
"space",1,0.499512545,"subject_11",0,5,3,"before",1
"space",1,0.451578788,"subject_11",0,5,3,"before",1
"space",1,0.509365279,"subject_11",0,5,3,"before",1
"space",1,0.511458566,"subject_11",0,5,3,"before",1
"",1,NA,"subject_11",0,5,3,"before",1
"space",1,0.282334708,"subject_11",0,5,3,"before",1
"space",1,0.386013278,"subject_11",0,5,3,"before",1
"space",1,0.476474561,"subject_11",0,5,3,"before",1
"space",1,0.516545482,"subject_11",0,5,3,"before",1
"space",1,0.49432368,"subject_11",0,5,3,"before",1
"space",1,0.242738741,"subject_11",0,6,3,"before",1
"space",1,0.292678272,"subject_11",0,6,3,"before",1
"space",1,0.277847372,"subject_11",0,6,3,"before",1
"space",1,0.223518,"subject_11",0,6,3,"before",1
"space",1,0.241325173,"subject_11",0,6,3,"before",1
"space",1,0.25848784,"subject_11",0,6,3,"before",1
"space",1,0.21331603,"subject_11",0,6,3,"before",1
"space",1,0.207092403,"subject_11",0,6,3,"before",1
"space",1,0.259231684,"subject_11",0,6,3,"before",1
"space",1,0.306826731,"subject_11",0,7,3,"before",1
"space",1,0.26698714,"subject_11",0,7,3,"before",1
"space",1,0.27719207,"subject_11",0,7,3,"before",1
"",0,0.262610869,"subject_11",0,7,3,"before",1
"space",1,0.271089531,"subject_11",0,7,3,"before",1
"space",1,0.217378337,"subject_11",0,7,3,"before",1
"space",1,0.234746633,"subject_11",0,7,3,"before",1
"space",1,0.381236779,"subject_11",0,7,3,"before",1
"space",1,0.326225927,"subject_11",0,7,3,"before",1
"space",1,0.390379666,"subject_11",0,7,3,"before",1
"space",1,0.399259063,"subject_11",0,7,3,"before",1
"space",1,0.297786906,"subject_11",0,7,3,"before",1
"space",1,0.275055587,"subject_11",0,7,3,"before",1
"space",1,0.242511671,"subject_11",0,7,3,"before",1
"space",1,0.217460991,"subject_11",1,8,3,"before",1
"space",1,0.235717898,"subject_11",1,8,3,"before",1
"space",1,0.215699544,"subject_11",1,8,3,"before",1
"space",1,0.215859959,"subject_11",1,8,3,"before",1
"space",1,0.257010408,"subject_11",1,8,3,"before",1
"space",1,0.233984038,"subject_11",1,8,3,"before",1
"",0,0.227996703,"subject_11",1,8,3,"before",1
"space",1,0.34255085,"subject_11",1,8,3,"before",1
"space",1,0.264076453,"subject_11",1,8,3,"before",1
"space",1,0.281191233,"subject_11",1,8,3,"before",1
"space",1,0.298609642,"subject_11",1,8,3,"before",1
"space",1,0.315264445,"subject_11",1,8,3,"before",1
"space",1,0.46812482,"subject_11",0,9,3,"before",2
"",0,0.467268641,"subject_11",0,9,3,"before",2
"space",1,0.47690695,"subject_11",0,9,3,"before",2
"space",1,0.510639633,"subject_11",0,9,3,"before",2
"space",1,0.50422567,"subject_11",0,9,3,"before",2
"space",1,0.593264329,"subject_11",0,9,3,"before",2
"",1,NA,"subject_11",0,9,3,"before",2
"space",1,0.395059436,"subject_11",0,9,3,"before",2
"space",1,0.485889339,"subject_11",0,9,3,"before",2
"space",1,0.486721578,"subject_11",0,9,3,"before",2
"space",1,0.47117587,"subject_11",0,9,3,"before",2
"space",1,0.536601679,"subject_11",0,9,3,"before",2
"space",1,0.522313022,"subject_11",0,9,3,"before",2
"space",1,0.508459637,"subject_11",0,9,3,"before",2
"space",1,0.555204427,"subject_11",0,9,3,"before",2
"space",1,0.28662755,"subject_11",1,10,3,"before",2
"space",1,0.295505873,"subject_11",1,10,3,"before",2
"space",1,0.337792773,"subject_11",1,10,3,"before",2
"",0,0.425304694,"subject_11",1,10,3,"before",2
"space",1,0.602897201,"subject_11",1,10,3,"before",2
"space",1,0.515804372,"subject_11",1,10,3,"before",2
"space",1,0.494136767,"subject_11",1,10,3,"before",2
"space",1,0.501911424,"subject_11",1,10,3,"before",2
"space",1,0.511654587,"subject_11",1,10,3,"before",2
"space",1,0.521762335,"subject_11",1,10,3,"before",2
"space",1,0.555467899,"subject_11",1,10,3,"before",2
"space",1,0.452084231,"subject_11",1,10,3,"before",2
"space",1,0.468473761,"subject_11",1,10,3,"before",2
"",1,NA,"subject_11",1,10,3,"before",2
"space",1,0.448025389,"subject_11",1,10,3,"before",2
"space",1,0.546960272,"subject_11",1,11,3,"before",2
"space",1,0.483950887,"subject_11",1,11,3,"before",2
"space",1,0.517459525,"subject_11",1,11,3,"before",2
"space",1,0.438953268,"subject_11",1,11,3,"before",2
"space",1,0.327369122,"subject_11",1,11,3,"before",2
"",0,0.281223412,"subject_11",1,11,3,"before",2
"space",1,0.290087908,"subject_11",1,11,3,"before",2
"space",1,0.292842548,"subject_11",1,11,3,"before",2
"",1,NA,"subject_11",1,11,3,"before",2
"space",1,0.414761201,"subject_11",1,11,3,"before",2
"space",1,0.495237148,"subject_11",1,11,3,"before",2
"space",1,0.4494266,"subject_11",1,11,3,"before",2
"",0,0.259344978,"subject_11",1,11,3,"before",2
"space",1,0.323222776,"subject_11",1,11,3,"before",2
"space",1,0.508414636,"subject_11",1,11,3,"before",2
"",0,0.328482583,"subject_11",0,12,3,"before",2
"space",1,0.385003607,"subject_11",0,12,3,"before",2
"space",1,0.266662536,"subject_11",0,12,3,"before",2
"space",1,0.228776017,"subject_11",0,12,3,"before",2
"space",1,0.254240522,"subject_11",0,12,3,"before",2
"space",1,0.264068646,"subject_11",0,12,3,"before",2
"space",1,0.257055373,"subject_11",0,12,3,"before",2
"space",1,0.276115035,"subject_11",0,12,3,"before",2
"space",1,0.293075929,"subject_11",0,12,3,"before",2
"space",1,0.261808179,"subject_11",0,12,3,"before",2
"space",1,0.20709707,"subject_11",0,12,3,"before",2
"space",1,0.240534678,"subject_11",0,12,3,"before",2
"space",1,0.277455223,"subject_11",1,13,3,"before",2
"",0,0.253956724,"subject_11",1,13,3,"before",2
"space",1,0.215930646,"subject_11",1,13,3,"before",2
"space",1,0.24786776,"subject_11",1,13,3,"before",2
"space",1,0.449265594,"subject_11",1,13,3,"before",2
"space",1,0.299384793,"subject_11",1,13,3,"before",2
"space",1,0.348232153,"subject_11",1,13,3,"before",2
"space",1,0.283873209,"subject_11",1,13,3,"before",2
"",0,0.302842794,"subject_11",1,13,3,"before",2
"space",1,0.232863517,"subject_11",1,13,3,"before",2
"space",1,0.35518233,"subject_11",1,13,3,"before",2
"space",1,0.220786189,"subject_11",1,13,3,"before",2
"space",1,0.222221557,"subject_11",0,14,3,"before",2
"space",1,0.29642112,"subject_11",0,14,3,"before",2
"space",1,0.27419333,"subject_11",0,14,3,"before",2
"space",1,0.245312701,"subject_11",0,14,3,"before",2
"space",1,0.454407834,"subject_11",0,14,3,"before",2
"space",1,0.328204661,"subject_11",0,14,3,"before",2
"space",1,0.304064421,"subject_11",0,14,3,"before",2
"space",1,0.210631031,"subject_11",0,14,3,"before",2
"space",1,0.211963191,"subject_11",0,14,3,"before",2
"space",1,0.240471023,"subject_11",0,14,3,"before",2
"space",1,1.09992388,"subject_11",1,15,3,"before",2
"space",0,NA,"subject_11",1,15,3,"before",2
"space",1,0.209722272,"subject_11",1,15,3,"before",2
"space",1,0.23870651,"subject_11",1,15,3,"before",2
"space",1,0.232606412,"subject_11",1,15,3,"before",2
"space",1,0.858848726,"subject_11",1,15,3,"before",2
"space",1,0.594260127,"subject_11",1,15,3,"before",2
"space",1,0.476031594,"subject_11",1,15,3,"before",2
"space",1,0.326114037,"subject_11",1,15,3,"before",2
"",0,0.271311694,"subject_11",1,15,3,"before",2
"space",1,0.24902088,"subject_11",1,15,3,"before",2
"space",1,0.371804705,"subject_11",1,16,3,"before",2
"space",1,0.298972535,"subject_11",1,16,3,"before",2
"space",1,0.237093398,"subject_11",1,16,3,"before",2
"space",1,0.302768191,"subject_11",1,16,3,"before",2
"space",1,0.240510729,"subject_11",1,16,3,"before",2
"space",1,0.232592097,"subject_11",1,16,3,"before",2
"space",1,0.236357714,"subject_11",1,16,3,"before",2
"space",1,0.245474249,"subject_11",1,16,3,"before",2
"space",1,0.305353694,"subject_11",1,16,3,"before",2
"space",1,0.21814413,"subject_11",0,17,3,"after",3
"",0,0.211374824,"subject_11",0,17,3,"after",3
"space",1,0.235260695,"subject_11",0,17,3,"after",3
"space",1,0.254647443,"subject_11",0,17,3,"after",3
"space",1,0.351912811,"subject_11",0,17,3,"after",3
"space",1,0.296834574,"subject_11",0,17,3,"after",3
"space",1,0.20121262,"subject_11",0,17,3,"after",3
"space",1,0.251867693,"subject_11",0,17,3,"after",3
"space",1,0.253210655,"subject_11",0,17,3,"after",3
"space",1,0.316956696,"subject_11",0,17,3,"after",3
"space",1,0.301773249,"subject_11",0,17,3,"after",3
"space",1,0.271970779,"subject_11",0,17,3,"after",3
"space",1,0.281342814,"subject_11",0,17,3,"after",3
"space",1,0.307273374,"subject_11",0,17,3,"after",3
"space",1,0.203916024,"subject_11",0,18,3,"after",3
"space",1,0.359342698,"subject_11",0,18,3,"after",3
"space",1,0.344223943,"subject_11",0,18,3,"after",3
"",0,0.250127199,"subject_11",0,18,3,"after",3
"space",1,0.225985528,"subject_11",0,18,3,"after",3
"space",1,0.202784201,"subject_11",0,18,3,"after",3
"space",1,0.229730275,"subject_11",0,18,3,"after",3
"space",1,0.247077249,"subject_11",0,18,3,"after",3
"space",1,0.270981881,"subject_11",0,18,3,"after",3
"space",1,0.224567124,"subject_11",0,18,3,"after",3
"",0,0.265595892,"subject_11",0,18,3,"after",3
"space",1,0.242728915,"subject_11",0,18,3,"after",3
"space",1,0.267038857,"subject_11",0,18,3,"after",3
"space",1,0.383744234,"subject_11",1,19,3,"after",3
"space",1,0.30529219,"subject_11",1,19,3,"after",3
"space",1,0.259443687,"subject_11",1,19,3,"after",3
"space",1,0.237238431,"subject_11",1,19,3,"after",3
"",0,0.278970464,"subject_11",1,19,3,"after",3
"space",1,0.22443183,"subject_11",1,19,3,"after",3
"space",1,0.265928939,"subject_11",1,19,3,"after",3
"",0,0.283295588,"subject_11",1,19,3,"after",3
"space",1,0.259628263,"subject_11",1,19,3,"after",3
"space",1,0.236051849,"subject_11",1,19,3,"after",3
"space",1,0.24654152,"subject_11",1,19,3,"after",3
"space",1,0.215611658,"subject_11",1,19,3,"after",3
"space",1,0.207737587,"subject_11",1,19,3,"after",3
"",0,0.272813593,"subject_11",1,19,3,"after",3
"",0,0.260592241,"subject_11",0,20,3,"after",3
"space",1,0.214683959,"subject_11",0,20,3,"after",3
"space",1,0.320705718,"subject_11",0,20,3,"after",3
"",0,0.297555457,"subject_11",0,20,3,"after",3
"space",1,0.282789371,"subject_11",0,20,3,"after",3
"space",1,0.291649081,"subject_11",0,20,3,"after",3
"space",1,0.278408763,"subject_11",0,20,3,"after",3
"space",1,0.295501291,"subject_11",0,20,3,"after",3
"space",1,0.232730016,"subject_11",0,20,3,"after",3
"space",1,0.232647328,"subject_11",0,20,3,"after",3
"space",1,0.226069111,"subject_11",0,20,3,"after",3
"space",1,0.283677446,"subject_11",0,20,3,"after",3
"space",1,0.244642561,"subject_11",0,20,3,"after",3
"space",0,NA,"subject_11",1,21,3,"after",3
"",0,0.310840977,"subject_11",1,21,3,"after",3
"",0,0.246779576,"subject_11",1,21,3,"after",3
"space",1,0.20792065,"subject_11",1,21,3,"after",3
"space",1,0.209534801,"subject_11",1,21,3,"after",3
"space",1,0.234941245,"subject_11",1,21,3,"after",3
"space",1,0.375793305,"subject_11",1,22,3,"after",3
"space",1,0.367245651,"subject_11",1,22,3,"after",3
"space",1,0.393473966,"subject_11",1,22,3,"after",3
"",0,0.299132237,"subject_11",1,22,3,"after",3
"space",1,0.308144601,"subject_11",1,22,3,"after",3
"space",1,0.252031908,"subject_11",1,22,3,"after",3
"space",1,0.224552451,"subject_11",1,22,3,"after",3
"space",1,0.22583456,"subject_11",1,22,3,"after",3
"space",1,1.100538497,"subject_11",1,22,3,"after",3
"",1,NA,"subject_11",1,22,3,"after",3
"space",1,0.208263107,"subject_11",1,22,3,"after",3
"space",1,0.207266744,"subject_11",1,23,3,"after",3
"space",1,0.273727334,"subject_11",1,23,3,"after",3
"space",1,0.227052179,"subject_11",1,23,3,"after",3
"space",1,0.218320469,"subject_11",1,23,3,"after",3
"space",1,0.214123371,"subject_11",1,23,3,"after",3
"space",1,0.207112539,"subject_11",1,23,3,"after",3
"space",1,0.200310356,"subject_11",1,23,3,"after",3
"space",1,0.250360908,"subject_11",1,23,3,"after",3
"space",1,0.363846808,"subject_11",1,23,3,"after",3
"space",1,0.245357401,"subject_11",1,23,3,"after",3
"space",1,0.317260032,"subject_11",1,23,3,"after",3
"space",1,0.249323339,"subject_11",1,24,3,"after",3
"space",1,0.218081836,"subject_11",1,24,3,"after",3
"space",1,0.216522505,"subject_11",1,24,3,"after",3
"",0,0.22585575,"subject_11",1,24,3,"after",3
"space",1,0.397827941,"subject_11",1,24,3,"after",3
"space",1,0.23093215,"subject_11",1,24,3,"after",3
"space",1,0.25491627,"subject_11",1,24,3,"after",3
"space",1,0.256130398,"subject_11",1,24,3,"after",3
"space",1,0.273843795,"subject_11",1,24,3,"after",3
"",0,0.276052873,"subject_11",0,25,3,"after",4
