"condition","correctness","RT","participant","task","intervention"
1,1,0.626414350999767,"subject_11",3,"before"
1,1,0.52353979199961,"subject_11",3,"before"
0,0,0.541818827000498,"subject_11",3,"before"
1,1,0.517204957999638,"subject_11",3,"before"
1,1,0.494473276000463,"subject_11",3,"before"
1,1,0.568672950999826,"subject_11",3,"before"
1,1,0.569488203000219,"subject_11",3,"before"
1,1,0.515250536999702,"subject_11",3,"before"
1,1,0.476275660000283,"subject_11",3,"before"
1,1,0.517109205999986,"subject_11",3,"before"
0,1,NA,"subject_11",3,"before"
1,1,0.489034604999688,"subject_11",3,"before"
1,1,0.678936716999488,"subject_11",3,"before"
1,1,0.566445262000343,"subject_11",3,"before"
1,1,0.519796833000328,"subject_11",3,"before"
0,1,NA,"subject_11",3,"before"
1,1,0.457921703000466,"subject_11",3,"before"
1,1,0.458854357999371,"subject_11",3,"before"
1,1,0.428654178000215,"subject_11",3,"before"
1,1,0.484890672999427,"subject_11",3,"before"
1,1,0.293973364000521,"subject_11",3,"before"
1,1,0.448311419,"subject_11",3,"before"
1,1,0.40153999299946,"subject_11",3,"before"
0,1,NA,"subject_11",3,"before"
1,1,0.395168699000351,"subject_11",3,"before"
1,1,0.388609764000648,"subject_11",3,"before"
1,1,0.446466140999291,"subject_11",3,"before"
1,1,0.399849327000084,"subject_11",3,"before"
1,1,0.376239488000465,"subject_11",3,"before"
0,0,0.320675828999811,"subject_11",3,"before"
1,1,0.562038740000389,"subject_11",3,"before"
1,1,0.436120355000639,"subject_11",3,"before"
1,1,0.444028562000312,"subject_11",3,"before"
1,1,0.445360865000112,"subject_11",3,"before"
1,1,0.303465414000129,"subject_11",3,"before"
1,1,0.417443626,"subject_11",3,"before"
1,1,0.401292290999663,"subject_11",3,"before"
0,1,NA,"subject_11",3,"before"
1,1,0.28360032,"subject_11",3,"before"
1,1,0.343165164,"subject_11",3,"before"
1,1,0.646070818000226,"subject_11",3,"before"
1,1,0.477037675999782,"subject_11",3,"before"
1,1,0.447703441000158,"subject_11",3,"before"
1,1,0.236594226999841,"subject_11",3,"before"
1,1,0.353128585999912,"subject_11",3,"before"
1,1,0.392946828000277,"subject_11",3,"before"
