"subject","a","v.ng","v.go","z","t0","st0"
"subject_11",1.17743303160023,0.929999220389862,2.04896441736975,0.686100192999637,0.176039012718588,0.0414329087332818
"subject_110",1.11322244005439,1.37597150116431,2.46916913916888,0.626456360580419,0.242794394018002,0.0549299112921415
"subject_111",0.951914240172797,1.19120881290171,2.30672735432531,0.736293835264762,0.232852708711136,0.0648094742663233
"subject_114",1.19551348759746,2.2230413413627,2.38620460047161,0.647450045625463,0.180021331256959,0.106721654388451
"subject_115",1.00516606565212,1.29476024132751,3.62203060961235,0.696787328859307,0.184849235816606,0.154031081464605
"subject_117",1.20468856002989,2.30462874654199,2.73799950683002,0.770409691041556,0.201874822962064,0.152911113123217
"subject_118",0.770457636674257,2.02816887247011,3.86797610150508,0.776980349688032,0.189549442710544,0.132775618687258
"subject_119",1.16930951787529,1.01905567913582,2.6582543421809,0.682490720350584,0.178485489678092,0.131036080732609
"subject_12",1.15798445270556,0.760067607554615,0.508118214865895,0.818012234473741,0.185644296616406,0.0486188378090424
"subject_13",0.75200145514995,2.34063819819423,3.44894510192917,0.781336851529293,0.187401596241098,0.119627853638597
"subject_14",1.06932391476634,2.30803744765173,2.98464942984048,0.645744965864599,0.244849690350654,0.074075892619905
"subject_15",0.885690466631466,2.8001004510829,4.11784383032744,0.58942270919926,0.215859450471888,0.137847026756764
"subject_16",1.29848838896788,1.83664430375175,2.15553265185335,0.925197061290295,0.196976639316694,0.068189162555905
"subject_17",0.695039584661016,2.02426643374049,3.06930863325251,0.701169666234365,0.224170758777769,0.101645961381006
"subject_18",1.24534623707001,0.926173762690322,2.37753406344714,0.728680312525434,0.195186202502595,0.158501943797885
"subject_19",0.887711882728343,1.20629851247798,2.60535735081991,0.788434013121712,0.195658449757289,0.144668045051742
"Subject_21",1.02354349906546,2.01061544839305,3.1101491321224,0.832398674804141,0.198756605818137,0.124635665612456
"subject_210",1.12374436497975,2.34753209155383,2.59763723013628,0.636510266580827,0.151462259349476,0.0788020415831455
"subject_211",0.884255599717167,1.84219866132946,3.46270285197147,0.742700074861941,0.204684391719993,0.151428699558202
"subject_212",0.651501728045945,2.73581228316251,3.84241855989932,0.605317519329211,0.227886023997654,0.072691866677464
"subject_213",1.14951321829376,0.633260414286228,2.44917281024129,0.63596581550791,0.181847043971798,0.0724724377689988
"subject_216",0.94434885611428,1.76855925922296,3.73527490968859,0.687378740171932,0.183806697835738,0.09357922071056
"subject_217",0.767474137852673,2.06034494755684,3.27907017673293,0.675834581709931,0.177744477463114,0.0638219170001769
"subject_218",0.59620604724596,0.882220885508122,3.37682040429991,0.714296641387071,0.190454371051116,0.084051156743987
"subject_22",1.07008422017022,3.24127241610405,4.22237884217711,0.629041742736567,0.204690006107252,0.386017411652571
"subject_220",1.04364242945379,1.47907465464095,3.06302270371999,0.670537196916542,0.178686558748954,0.122485549365556
"subject_24",0.71182447300306,1.79906698613236,2.34317903803587,0.666298424751744,0.223370127626557,0.119371635795833
"subject_25",1.01126622613319,1.46648866139151,3.01130145504325,0.673495485865518,0.171890421693519,0.151118363339178
"subject_27",1.13625671757246,2.20794785006207,3.7383322684065,0.617664589387454,0.21911065018083,0.121577311590174
"subject_29",1.18714794132436,0.853154573100133,3.14398534308241,0.651156989865389,0.187952100162324,0.0840619477669396
"subject_311",1.10038791174003,2.45011529240186,3.25296084798138,0.558019430989417,0.203707032731725,0.139102575222958
"subject_315",0.796473022185595,2.12362922514251,3.45038846277967,0.747081046087541,0.195250920336113,0.11465811281196
"subject_316",0.595470747041351,2.42517129016845,3.67096040936743,0.640264233530247,0.217273997781714,0.0820273960772975
"subject_318",0.680877557423058,1.93803682139263,3.06245919140186,0.6669188202016,0.201779843837716,0.0986071229986457
"subject_319",0.744025174853295,0.581630190119356,3.77291291553117,0.694202772092947,0.19531765631183,0.118758081446428
"subject_32",0.707969120133639,2.11564886939358,4.39108440967606,0.712211811605758,0.215821732820002,0.0797891741184695
"subject_33",1.09168269452284,2.68485030624466,3.58170177917627,0.508759973959908,0.261199402009611,0.260382439321107
"subject_34",0.869979096279774,2.04648781752897,3.33560501932645,0.622051029980743,0.178939388565572,0.106451417628921
"subject_35",1.27693123440877,1.77791974438341,1.70757018279462,0.820360669218212,0.190475768333981,0.124157649090212
"subject_37",1.22617181928945,2.05130470900593,1.55583817063032,0.833278063392602,0.184061624460579,0.189521289680168
"subject_38",0.9630011784241,1.64527789077777,2.28071632769205,0.638010634088496,0.223196099833311,0.108942994143147
"subject_39",0.683125734754795,1.52131586789532,3.76202812194796,0.674787998335441,0.195630058604251,0.074783113342588
